Calculations with WS3
    Z    N    A      Etot  Eshell+pairing  beta2      gamma      beta4
    4    2    6		0	0	0		0	0
    4   20   24		0	0	0		0	0
    6    2    8		0	0	0		0	0
    6   20   26		0	0	0		0	0
    8    6   14    -5.218    -5.476     0.108      30.083     0.024
    8    8   16    -8.822    -8.838     0.019      60.000    -0.001
    8   10   18    -5.336    -5.370     0.037      60.000    -0.000
    8   12   20    -5.369    -5.431     0.056      59.918     0.002
    8   14   22    -7.704    -7.730     0.029      60.000    -0.001
    8   16   24    -9.647    -9.669     0.026      60.000    -0.001
    8   18   26    -8.277    -8.301     0.025      60.000    -0.002
   10    6   16    -3.537    -4.651     0.286      25.373     0.006
   10    8   18    -5.806    -5.842     0.040      60.000    -0.000
   10   10   20    -2.954    -5.001     0.296      -4.225     0.077
   10   12   22    -2.876    -5.073     0.324       0.031     0.053
   10   14   24    -3.045    -4.858     0.286       2.231     0.051
   10   16   26    -3.870    -4.389     0.153       0.548     0.019
   10   18   28    -3.062    -3.488     0.143      -1.805     0.010
   10   20   30    -3.176    -6.159     0.351      -1.082     0.092
   10   22   32    -3.826    -6.624     0.357      -1.602     0.079
   10   24   34    -4.361    -6.967     0.362       4.315     0.058
   10   26   36    -4.676    -6.994     0.359       4.246     0.039
   10   28   38    -5.369    -7.432     0.330      35.919     0.051
   12    8   20    -6.033    -6.099     0.060      60.000     0.003
   12   10   22    -3.298    -5.403     0.325       0.775     0.054
   12   12   24    -2.207    -5.043     0.383       7.279     0.013
   12   14   26    -2.008    -3.951     0.292      26.354     0.033
   12   16   28    -2.147    -3.496     0.245       5.157    -0.007
   12   18   30    -1.560    -2.336     0.184      18.362    -0.001
   12   20   32    -1.286    -4.565     0.384       5.717     0.045
   12   22   34    -2.133    -5.388     0.389       6.743     0.037
   12   24   36    -2.923    -5.904     0.372       6.208     0.032
   12   26   38    -3.543    -6.533     0.381       7.863     0.003
   12   28   40    -3.979    -7.265     0.392      -2.112    -0.040
   14   10   24    -3.612    -5.299     0.290       2.061     0.051
   14   12   26    -2.307    -4.205     0.296      26.097     0.030
   14   14   28    -2.713    -6.391     0.380      60.000     0.071
   14   16   30    -2.361    -4.798     0.309      60.000     0.038
   14   18   32    -1.973    -2.679     0.168      24.479    -0.004
   14   20   34    -1.712    -1.778     0.048      -4.314     0.002
   14   22   36    -0.821    -1.642     0.171      21.708     0.026
   14   24   38    -1.613    -5.001     0.381      -5.069    -0.008
   14   26   40    -2.629    -4.878     0.298       0.135    -0.033
   14   28   42    -4.479    -7.687     0.320      60.000     0.081
   14   30   44    -4.480    -6.266     0.262      60.000     0.037
   16   12   28    -2.589    -3.983     0.261       4.978    -0.011
   16   14   30    -2.637    -5.033     0.313      60.000     0.038
   16   16   32    -2.310    -4.023     0.265      60.000     0.001
   16   18   34    -2.627    -2.740     0.059      -6.133    -0.002
   16   20   36    -2.991    -3.000     0.000     -30.000     0.002
   16   22   38    -1.639    -1.779     0.071      -6.326     0.006
   16   24   40    -1.914    -3.083     0.211       1.280    -0.001
   16   26   42    -3.025    -4.496     0.227      14.686    -0.021
   16   28   44    -4.453    -6.331     0.257      60.000     0.026
   16   30   46    -4.906    -5.828     0.172      22.638    -0.025
